,Hotel Name,Room Price,Hotel Address,Hotel Facilities,Hotel Rating
0,Beach House Resort Goa,"₹ 18,275","The Beach House Goa Lane Behind Baywatch Resort, Prudential Landmarks, 403708 Benaulim, India","Spa
Fitness center
Room service
Restaurant
Non-smoking rooms
WiFi
Free parking
Beachfront
Airport shuttle
Breakfast","7.9
Scored 7.9"
1,Zulu Land cottages - near Curlies beach shack and shiva valley - Anjuna beach,"₹ 11,838","House No 774, St Michael Wado, Anjuna Beach, Anjuna, 403509 Anjuna, India","Free parking
Room service
Non-smoking rooms
Restaurant
Spa
Free WiFi
Fitness center
Bar
Breakfast","7.9
Scored 7.9"
2,Storii By ITC Hotels Moira Riviera,"₹ 42,996","Tin, Manas Bambordem Moira, Bardez, North Goa, 403507 Moira, India","2 swimming pools
Spa
Restaurant
Room service
Free parking
Free WiFi
Family rooms
Tea/Coffee Maker in All Rooms
Bar
Breakfast","8.5
Scored 8.5"
3,Lamrin Ucassaim Goa A 18th Century Portuguese Villa,"₹ 37,034","88/89, menezes waddo, near Elizabeth's church,, 403507 Moira, India","Outdoor swimming pool
Room service
Non-smoking rooms
Free parking
Free WiFi
Airport shuttle
Tea/Coffee Maker in All Rooms
Breakfast","9.1
Scored 9.1"
4,Ronnie's Studio Apartment,"₹ 12,298","Unnamed Road Near clove restaurant, 403511 Saligao, India","Indoor swimming pool
Free parking
Restaurant
Non-smoking rooms
Free WiFi
Airport shuttle
Spa
Family rooms","7.9
Scored 7.9"
5,Nirvana Hill Resort,"₹ 22,400","427/B Covatem Near to Curtorim lake, Curtorim, 403709 Curtorim, India","Outdoor swimming pool
Free parking
Free WiFi
Room service
Non-smoking rooms
Restaurant
Airport shuttle
Tea/Coffee Maker in All Rooms
Bar
Breakfast","8.5
Scored 8.5"
6,La Vera Boutique Hotel,"₹ 9,494","181(1)A, Madhalamaj, Mandrem, 403527 Mandrem, India","Outdoor swimming pool
Free parking
Room service
Non-smoking rooms
Restaurant
Free WiFi
Facilities for disabled guests
Family rooms
Tea/Coffee Maker in All Rooms
Good Breakfast","7.9
Scored 7.9"
7,Casa Do Leão A 150 year Old Portuguese Home,"₹ 20,800","House no 94/1-A Bairro Forta Vaddo, 403114 Nerul, India","Fast free Wifi 110 Mbps)
Free parking
Restaurant
Family rooms
Non-smoking rooms
Tea/Coffee Maker in All Rooms
Bar
Breakfast","9.5
Scored 9.5"
8,"TATA Rio De Goa - Resort style apt,6 KM from Airport","₹ 18,727","Tata Housing - Rio de Goa - Tower 6 , Flat no. 405, Vidya Nagar Colony, Near MES College 4, 403726 Chicalim, India","2 swimming pools
Free parking
Free WiFi
2 restaurants
Fitness center
Non-smoking rooms
Spa
Airport shuttle
Family rooms","8.0
Scored 8"
9,Calangute Ocean Wave,"₹ 5,500","5/75/A,Landmark-Maddo waddo,Calangute-403516,Calangute,Goa, 403515 Baga, India","Room service
Non-smoking rooms
Free WiFi
Free parking
Family rooms","8.4
Scored 8.4"
